time,accX,accY,accZ
0.0,0.028165173203333057,0.011811562568832756,-0.00023469355350624888
8.0,0.02783198694769329,0.01167183503095634,-0.00023191719329174187
15.0,0.037443593568489045,0.02147461180607127,-0.0002291736766553143
23.0,0.046941497525447226,0.02122057305234773,-0.00022646261506642507
30.0,0.056327043889821155,0.011028688132605657,-0.0002237836245907454
38.0,0.05566071044640795,0.01089822178407679,-0.00022113632583586895
45.0,0.05500225954443753,0.010769298816582368,-0.00021852034389746589
53.0,0.054351597935611735,0.010641900972349044,-0.00021593530830621432
61.0,0.05370863347473416,0.01051601020958795,-0.00021338085297528675
68.0,0.0630141264812938,0.010391608699939603,-0.00021085661614861362
76.0,0.06226868668928044,0.01026867882594909,-0.00020836224034970208
83.0,0.05159121387043229,0.010147203178571207,-0.00020589737233067673
91.0,0.06092175536877582,8.631318007182309e-05,-0.00020346166302265267
98.0,0.06020106775177504,8.529211888136379e-05,-0.0002010547674861085
106.0,0.059488905671147174,8.428313656408393e-05,0.009742175029771039
114.0,0.05878516827214082,8.328609023020017e-05,0.00962692777755203
121.0,0.04814890451845552,8.2300838680327e-05,0.009513043868642268
129.0,0.047579316215417417,0.010022178617018512,0.009400507175065131
136.0,0.04701646598540927,0.009903618999342806,0.009289301759633717
144.0,0.05640112549351267,0.009786461909349009,0.009179411873693533
152.0,0.055733915685094795,-0.00027016061911283584,0.009070821954892394
159.0,0.05507459878527678,-0.0002669646932630665,0.008963516624976409
167.0,0.05442308142311984,-0.0002638065743374718,0.008857480687612163
174.0,0.06372012270687082,-0.0002606858150905056,0.008752699126234886
182.0,0.06296633117360603,-0.0002576019735674451,0.00864915710192149
189.0,0.06222145678694241,-0.0002545546130417742,0.008546839951289242
197.0,0.0714262454341203,0.009689308072679759,-0.0014951181902138622
205.0,0.07058129258761037,0.009574686222028617,-0.0014774313530714345
212.0,0.0796871866756077,0.009461420316358077,0.008480897628283302
220.0,0.08868536053999662,0.009349494315211787,-0.0015602804336679599
227.0,0.08763623710677423,0.01917974374252071,0.00839902862953279
235.0,0.08659952451533491,0.01895285264706867,0.008299670429961936
242.0,0.08557507594883243,0.018728645610897432,0.00820148761057582
250.0,0.0845627463272235,0.018507090882323607,0.008104466266949939
258.0,0.09350324366135493,0.018288157085277534,0.00800859265914533
265.0,0.09239712599537116,0.008130961840226714,0.0079138532097629
273.0,0.09130409339727479,-0.001906076577558452,0.007820234502020296
280.0,0.09022399107431014,-0.0018835282156771105,0.007727723277851983
288.0,0.08915666606487731,-0.0018612465947176748,0.007636306436031748
295.0,0.08810196721687001,-0.0018392285592084001,0.0075459710303174
303.0,0.08705974516626985,-0.0018174709910058484,0.00745670426761702
311.0,0.09597070369062678,-0.0117368221834864,-0.002572357868455555
318.0,0.09483539665086715,-0.011597978803820519,-0.0025419275820813825
