time,accX,accY,accZ
0.0,0.012000942745795926,-0.011806475405301248,-0.0012559165504780756
7.0,0.011861081517123728,-0.011668880535343873,-0.0012412798643792744
15.0,0.011722850257338144,-0.011532889221705284,-0.0012268137569545479
22.0,0.011586229970477271,-0.01139848277624056,-0.001212516240248207
30.0,0.021392930947904794,-0.021207371794543017,-0.001198385349472475
37.0,0.021143613734194926,-0.02096021712187099,-0.0011844191427377027
45.0,0.010955473043925842,-0.020715942835925594,-0.0011706157007852491
52.0,0.01082779591446488,-0.02047451536814182,-0.0011569731267239147
60.0,0.010701606758122192,-0.020235901541169,-0.0011434895457693717
67.0,0.020518617299724186,-0.020000068564311496,-0.0011301631049861482
75.0,0.020279489500601953,-0.00982525496307951,-0.0011169919730332767
82.0,0.020043148541522483,-0.00971074960627033,-0.0011039743399127167
90.0,0.01980956194413131,-0.009597578716280308,-0.0010911084167204432
97.0,0.019578697608582767,-0.00948572674098383,-0.0010783924354005325
104.0,0.019350523809128793,-0.019316907375445752,-0.001065824648502356
112.0,0.019125009189759117,-0.019091784528274147,-0.0010534033289405498
119.0,0.018902122759892274,-0.01886928530481899,-0.0010411267697573168
127.0,0.01868183389011683,-0.018649379128879373,-0.0010289932838882798
134.0,0.00852238324203912,-0.01843203578059513,-0.0010170012039302234
142.0,0.008423061795658202,-0.018217225392294006,-0.0010051488819121657
149.0,0.00832489785996779,-0.02794664751033027,0.008948294376873944
157.0,0.008227877945122059,-0.027620952059493054,0.00884400928256257
164.0,0.008131988718488359,-0.027299052324283507,0.008740939546222015
172.0,0.008037217002815053,-0.02698090406872264,0.008639071003843313
179.0,0.007943549774420633,-0.026666463572365795,0.008538389656487788
187.0,0.017792703227347113,-0.02635568762429455,0.008438881668362708
194.0,0.00764361467411305,-0.026048533517178618,0.008340533364920466
201.0,0.007554534560786724,-0.02574495904140689,0.00824333123097909
209.0,0.01740822166968537,-0.02544492247928698,0.008147261908865167
216.0,0.01720534300229292,-0.025148382599312236,0.008052312196577982
224.0,0.017004828720790295,-0.024855298650495766,0.007958469045975525
231.0,0.016806651270182667,-0.0245656303567702,-0.0020760095049618954
239.0,0.01661078341660622,-0.024279337911453064,-0.0020518153023688646
246.0,0.016417198243585694,-0.023996381971776337,-0.002027903063532621
254.0,0.016225869148335466,-0.023716723653479987,-0.002004269502394851
261.0,0.006095040772160651,-0.02344032452546843,-0.0019809113711936055
269.0,0.006024008028378908,-0.023167146604529204,-0.001957825460016882
276.0,0.005953803113462913,-0.02289715235011336,-0.0019350085963617536
284.0,0.005884416379740437,-0.02263030465917648,-0.0019124576446981623
291.0,0.00581583829197499,-0.02236656686107996,-0.001890169506038042
299.0,0.01568978849199861,-0.022105902712551695,-0.0018681411175095475
306.0,0.015506936765881794,-0.021848276392705396,-0.0018463694519360585
313.0,0.015326216027939925,-0.02159365249811812,-0.0018248515174204005
321.0,0.015147601443238727,-0.021341996037964994,-0.011745313422876547
328.0,0.014971068466274863,-0.021093272429210774,-0.011608431346088133
336.0,0.014796592837602908,-0.02084744749185738,-0.011473144518593714
343.0,0.014624150580501531,-0.02060448744424681,-0.01133943434906004
351.0,0.01445371799767859,-0.020364358898418783,-0.011207282462820656
358.0,0.004343542602071523,-0.02012702885552259,-0.011076670699351032
366.0,0.004292922145163788,-0.019892464701282253,-0.010947581109772675
373.0,0.004242891628517334,-0.019660634201514704,-0.010819995954386652
381.0,0.014135173242801231,-0.019431505497700008,-0.010693897700235877
388.0,0.013970439293218388,-0.01920504710260343,-0.010569269018695482
396.0,0.013807625183858162,-0.018981227895948305,-0.02038782184903498
403.0,0.013646708540543943,-0.018760017120139527,-0.020150218364529127
410.0,0.013487667249851974,-0.018541384376036696,-0.01991538395541881
418.0,0.013330479456072443,-0.01832529961877674,-0.019683286350381968
425.0,0.013175123558206096,-0.008170004087701882,-0.0194538936541927
433.0,0.013021578206995725,-0.008074789333814059,-0.019227174343337983
440.0,0.012869822301992385,-0.007980684230455226,-0.009061368195742547
448.0,0.02266156405459878,-0.007887675845550862,-0.008955765318022668
455.0,0.022397461953668395,-0.007795751397739192,-0.008851393155967502
463.0,0.02213643774795953,-0.007704898254614845,-0.00874823736658692
470.0,0.02187845556710629,-0.007615103930992878,0.0012954452918967352
478.0,0.021623479958782728,-0.007526356087193015,0.0012803479304610565
485.0,0.021371475883830905,-0.007438642527343886,0.00126542651649586
493.0,0.021122408711445807,-0.007351951197707124,0.011192408065419546
500.0,0.020876244214416265,-0.007266270185020879,0.01106196965095596
507.0,0.030574677630364526,-0.01712331678080578,0.01093305139014189
515.0,0.020276625559619392,-0.016923758448211812,0.010805635566822791
522.0,0.02004031797744315,-0.01672652580570566,0.020621433737254447
530.0,0.029748493433917632,-0.026473320815203705,0.01043937863021882
537.0,0.029401798934081604,-0.02616479578890568,0.010317716161467483
545.0,0.01911741581077004,-0.025859866370900125,0.010197471569854955
552.0,0.018894617875560467,-0.02555849065729629,0.01007862833117612
560.0,0.018674416469109015,-0.025260627232559202,0.009961170113802154
567.0,0.018456781330984474,-0.024966235163818296,0.009845080776435977
575.0,0.018241682553416363,-0.024675273995242275,0.009730344365894261
582.0,0.01802909057718493,-0.0243877037424797,0.009616945114915065
590.0,0.0178189761875591,-0.02410348488716421,0.009504867439991016
597.0,0.01761131051028173,-0.023822578371483882,0.009394095939227909
604.0,0.01740606500760166,-0.023544945592813837,0.009284615390228068
612.0,0.01720321147435202,-0.02327054839841136,0.009176410747998576
619.0,0.01700272203407422,-0.01305762001422986,0.00906946714288348
627.0,0.006862840069244029,-0.012905444071271976,0.008963769878520655
634.0,0.01672458831496352,-0.01275504161518154,0.00885930442982219
642.0,0.01652967683839749,-0.012606391977411258,0.0087560564409781
649.0,0.016337036896591044,-0.012459474730288994,0.008654011723483901
657.0,0.016146642016653744,-0.01231426968421051,0.008553156254190508
664.0,0.015958466034215156,-0.012170756884864992,0.008453476173377217
672.0,0.01577248308982932,-0.012028916610492879,-0.0015867712830959224
679.0,0.015588667625421097,-0.011888729369175677,-0.0015682787541357879
687.0,0.025348723446717,-0.011750175896157344,-0.0015500017405627453
694.0,0.025053304688238916,-0.011613237151196942,-0.0015319377307202453
701.0,0.03470305786110281,-0.01147789431595203,-0.0015140842422229905
709.0,0.034298621941863325,-0.011344128791392627,-0.0014964388216159863
716.0,0.023957170328436812,-0.01121192219524536,-0.0014789990440370326
724.0,0.023677968989957124,-0.0110812563594673,-0.0014617625128839906
731.0,0.023402021516034065,-0.010952113327749258,-0.001444726859484935
739.0,0.023129289985522238,-0.010824475353048257,-0.0014278897427730808
746.0,0.02285973691921634,-0.010698324895148631,-0.001411248848964708
754.0,0.02259332527470076,-0.01057364461825172,-0.011336530957184676
761.0,0.022330018441259085,-0.010450417388593453,-0.011204412907616645
769.0,0.07177842556455852,-0.11968764599746393,0.028693081677292898
776.0,0.02123326105428685,-0.028817222218507133,0.008475229011345342
784.0,0.0011023465314591654,0.011285535336384794,0.008376457109177893
791.0,0.040856415842823034,-0.03855463373040732,0.018220565379153175
799.0,0.040380267540147285,-0.008280123628639474,0.018008219506415513
806.0,0.020026210226854663,0.0017581035448931137,0.01779834835214733
813.0,0.009851091965803804,0.011679343343690252,0.01759092307551735
821.0,0.009736285499738227,0.011543230094528623,0.01738591517181065
828.0,0.009622817009675329,0.011408703134600212,0.017183296468511577
836.0,0.009510670902592833,0.01127574397699399,0.007041310055489025
843.0,0.009399831767192446,0.01114433435024878,0.006959249312705529
851.0,0.009290284371782025,0.011014456195842487,0.006878144921148244
858.0,0.009182013662182416,0.020827820731653457,0.006797985735321421
866.0,0.009075004759658688,0.010643360352029702,0.006718760739620855
873.0,0.008969242958875447,0.010519320642186303,0.006640459046820313
881.0,0.018806442791819138,0.010396726514293436,-0.003378659169367748
888.0,0.018587268994265722,0.010275561121269011,-0.0033392836442359686
896.0,0.01837064948909315,0.010155807812369966,-0.013242096074773002
903.0,0.01815655450810085,0.010037450130904124,-0.023029499279286436
910.0,0.01794495463001241,-2.1257253974421575e-05,-0.022761109192513063
918.0,0.01773582077643248,-2.1009517965520086e-05,-0.03243757603989228
925.0,0.01752912420785075,-2.0764669118322754e-05,-0.03205954246901499
933.0,0.01732483651969255,-2.0522673785328127e-05,-0.031685914571993656
940.0,0.017122929638415406,-2.0283498711165526e-05,-0.03131664100428211
948.0,-0.04272699857800738,-0.009961776176971082,0.03864043244188853
955.0,-0.09193769548440511,0.1293385271467718,0.12766567121722594
963.0,0.038376241451038254,0.19742329525109603,0.09635264443763059
970.0,0.05781245569593536,0.17523902915543504,0.07534627458769771
978.0,0.04719696947128711,0.13342984450924011,0.044642987830281755
985.0,0.016821739974308386,0.09210791191134346,0.034180981044346415
993.0,-0.0032577618577308773,0.0711510109672362,0.023840900439916157
1000.0,-0.003219795292453885,0.08026353285954846,0.013621325066494827
1007.0,-0.0031822711966212197,0.07932812665346181,0.013462579599551328
1015.0,-0.003145184413611314,0.058520163714159246,0.013305684181935118
1022.0,-0.013050258912841929,0.03795470066211562,0.003208888186882475
1030.0,-0.002956439691591685,0.037512369490229264,0.003171491204495669
1037.0,-0.0029219847911292895,0.03707519332845258,0.0031345300535278176
1045.0,-0.0028879314345134563,0.03664311209933471,0.003097999654718131
1052.0,-0.002854274942077177,0.02627433735963558,0.0030618949880004687
1060.0,0.007120718377251929,0.03590986038964422,0.0030262110918134466
1067.0,0.02692119032693838,0.08520000549800816,0.01293267212836191
1075.0,0.006723987613797298,0.04444015245383126,0.002840223285464516
1082.0,0.006645625006028687,0.05386396768115112,0.002807122792709671
1090.0,0.006568175650730042,0.04329449787344966,0.002774408059280975
1097.0,0.006491628904686464,0.0427899357073275,0.0027420745894670695
1104.0,0.016357703314664178,0.04229125380294732,0.0027101179399506847
1112.0,0.02610879665037302,0.031856654564697134,0.012620262785140723
1119.0,0.025804519856789197,0.03148539116121449,0.0025314548190907837
1127.0,0.015562060095857082,0.04106018359673538,0.0025019527717244916
1134.0,0.015380696940330014,0.040581660546589404,0.002472794546729551
1142.0,0.015201447424898165,0.04010871429346338,0.0024439761371357616
1149.0,0.015024286916805005,0.03964127984432303,0.012357222648614163
1157.0,0.014849191070368764,0.03917929296357503,0.002271480201454179
1164.0,0.01467613582363679,0.03872269016423968,0.002245007946848121
1172.0,0.014505097395078916,0.03827140869922638,0.0022188442048425294
1179.0,0.01433605228031938,0.037825386552710866,0.002192985379973922
1187.0,0.00422724818296371,0.03738456243161284,0.002167427918681075
1194.0,0.01411971210888447,0.036948875757173066,0.0021421683088165278
1201.0,0.00401342928030151,0.026576537590685345,0.002117203079164187
1209.0,0.00396665602571461,0.0362085387227469,0.0020925287989619346
1216.0,0.013862156941317531,0.03578655764830488,0.002068142077430668
1224.0,0.013700604774714728,0.03536949442013526,0.002044039563307787
1231.0,0.0035992063012982023,0.025015562658795787,0.002020217944387115
