time,accX,accY,accZ
0.0,0.0019124984721383478,0.0030368850072240855,-0.027873114914317654
7.0,0.0018902098576675658,0.003001492582025214,-0.027548276426091034
15.0,0.001868180998873592,0.002966512626761314,-0.027227223666289824
22.0,0.0018464088685152466,0.0029319403344307132,-0.03685164158127063
30.0,0.011766619540574473,0.012839500019996522,-0.03642216566597645
37.0,0.011629489158310163,0.012689866088198748,-0.04593942400917306
45.0,0.011493956919138279,0.01254197601819547,-0.05534576644570588
52.0,0.011360004198000671,0.012395809486695553,-0.05470075654432849
60.0,0.02116934165284218,0.012251346407259306,-0.05406326370883696
67.0,0.010980901124602906,0.012108566927538159,-0.053433200333941167
75.0,0.010852927651539473,0.02190918049248959,-0.06275220890126254
82.0,0.02066817467118111,0.021653846810145844,-0.0719626120018434
90.0,0.020427303902512902,0.021401488834235358,-0.08106567534408216
97.0,0.020189240286780156,0.02115207188531948,-0.10000437895151759
104.0,0.02989568017484124,0.020905561688120203,-0.10878063830320361
112.0,0.019605541267287235,0.020661924366809983,-0.11745461748889974
119.0,0.00943532556087693,0.01047939737441346,-0.12602750850076794
127.0,-0.0006163645517788321,0.0004155394537982554,-0.12455876037332703
134.0,-0.01055091039009158,0.00041069667937619625,-0.11316540024499899
142.0,-0.020369677175318394,0.00040591034355193234,-0.10190482046401594
149.0,-0.030074014218172795,0.00040117978857950876,-0.10071720264934803
157.0,-0.029723526038306067,0.00039650436437844994,-0.0896016964886096
164.0,-0.029377122513162685,0.0003918834284444561,-0.0885574615791146
172.0,-0.02903475603941344,0.0003873163457610851,-0.07758366731238675
179.0,-0.02869637956850723,0.0003828024887124887,-0.07667949276001618
187.0,-0.028361946600205537,0.00037834123699717614,-0.07578585562678897
194.0,-0.028031411176192317,0.010315661043485858,-0.074902633107654
201.0,-0.027704727873758328,0.010195440402602188,-0.06408797476281003
209.0,-0.027381851799559057,0.00013489176958286775,-0.06334108153256113
216.0,-0.027062738583445434,0.0001333197157008248,-0.06260289273554576
224.0,-0.036689073438309475,0.0001317659828284079,-0.06187330692867288
231.0,-0.046203221188466,0.02001368848933531,-0.061152223851088205
239.0,-0.025781302085561862,0.009838716158952723,-0.07038127347633927
246.0,-0.01553911290887297,0.009724053922852124,-0.0795027660331662
254.0,-0.005416288118206727,-0.00033100108407183026,-0.07857622594579416
261.0,-0.005353165684652883,-0.0003271435356032859,-0.0776604839296885
269.0,-0.015232507957674751,-0.010265060009668328,-0.06681368507616647
276.0,-0.01505498546433015,-0.0200871581486287,-0.046151567776845814
284.0,-0.0347629899831724,-0.029794787720997917,-0.02573025065245016
291.0,-0.034357855603786326,-0.039389282764835054,-0.015488656438699788
299.0,-0.04389917180208441,-0.04887196177107042,0.014517038454723408
306.0,-0.05332929171898109,-0.05824412786469474,0.03423131230851029
313.0,-0.0725912403226556,-0.05756533991789359,0.053715832331954316
321.0,-0.08168697751300857,-0.05689446269262978,0.07297327611911508
328.0,-0.09067671128295794,-0.06617313306181982,0.09200629005887073
336.0,-0.09956167701616774,-0.05546020994127984,0.12075921876453166
343.0,-0.10834309569890999,-0.05481386629402574,0.13923532640173952
351.0,-0.0971387159559684,-0.06411678432232419,0.15749611002899622
358.0,-0.09600664321359982,-0.06336955534008679,0.15566062094065236
366.0,-0.08494603479251178,-0.05268930563805613,0.16378825205097747
373.0,-0.07401432876821064,-0.05207525462718823,0.15193770409812257
381.0,-0.05326829382214071,-0.051468359881512715,0.1501669937108706
388.0,-0.032764037042927734,-0.05086853800057817,0.14841691951326053
396.0,-0.022440469768591348,-0.05027570655589758,0.14668724100728325
403.0,-0.012237215275829931,-0.029806325947734774,0.13503599143179523
410.0,0.007788857648931863,-0.01951722839103584,0.12352052769544586
418.0,0.02758154297873014,-0.019289770965326303,0.10219753825875655
425.0,0.04714356065619606,-0.019064964370947624,0.08112305092433958
433.0,0.06647759892524124,-0.008901048648673165,0.07023589866821511
440.0,0.453430290140375,0.19997899621990062,0.19865983424153066
448.0,-0.0588822535299576,0.01869728045262567,0.18640288635541857
455.0,-0.09796294501121672,0.02842110791930906,0.12458013789999323
463.0,-0.4746069710553005,-0.12103605297091538,0.8488744795137646
470.0,-0.02169800478519883,0.05932564698829558,0.3319533553869993
478.0,-0.04132859031588406,-0.02089957771195683,0.24855087644310958
485.0,-0.06073039733557787,-0.08030638452468125,0.14623692743747818
493.0,-0.05008090487395652,-0.10919566611511328,0.0749405515047975
500.0,-0.03955552358692932,-0.09798135035727143,0.03430026405404041
507.0,-0.01921107799373905,-0.07695599926429014,0.014017064237188737
515.0,0.0008962696299341932,-0.05617568154072142,0.003911977686078205
522.0,-0.009055904729709525,-0.03563754152190299,0.0038663867673226493
530.0,0.010933092607642768,-0.025280485889565274,-0.0061204018922917935
537.0,0.02074740536991026,-0.015044133318382696,-0.006049073585278286
545.0,0.03044734029782096,0.024898110085497444,-0.00597857655167966
552.0,0.030092501306080453,0.0246079428593107,-0.005908901103680253
560.0,0.029741797674237645,0.004437699164298287,-0.005840037666367981
567.0,0.02939518120803577,0.00438598138922483,-0.005771976776418608
575.0,0.02905260427488291,0.014276595408706655,-0.005704709080795234
582.0,0.028714019797306284,-0.01571497389904622,-0.0056382253354630985
590.0,0.018437652180539672,-0.03541528678937694,-0.015514245470062082
597.0,0.018222776337664386,-0.03500255042115488,-0.015333439555116346
604.0,0.018010404698003225,-0.024652895093728838,-0.015154740786080034
612.0,0.02774223714304721,-0.014423856582922029,-0.014978124605880994
