time,accX,accY,accZ
0.0,0.02977513670902376,-0.14887568354511882,0.05014625091754388
10.0,0.019403735457371948,-0.14664390513523268,0.05931955975312264
19.0,-0.010662280439130275,-0.14444558306121166,0.0782803981307818
29.0,-0.03035253454722249,-0.11250507907391287,0.07710690560127398
38.0,-0.04974761429938779,-0.12074357382144735,0.10572614147359793
48.0,-0.05892689905109058,-0.08915838395417541,0.09421616736299199
58.0,-0.04811848705157249,-0.07789677520889692,0.09280378353256469
67.0,-0.00769696601585987,-0.06680398795722842,0.04178734473884638
77.0,-0.017506627244943892,-0.06580253698506847,0.08086109769360239
87.0,0.02245599488816728,0.004659220337390182,0.08957396376065474
96.0,0.09159467861504281,0.014514420065834838,0.05845603396649701
106.0,0.11007168436310603,-0.005553255091022013,0.0972799085001872
115.0,0.14812179456252536,0.014380084262687012,0.0759715053360901
125.0,0.15582636318615758,-0.055310804929823335,0.10460776186442766
135.0,0.15349038792969774,-0.08425678366397613,0.11296464439446918
144.0,0.15118943101215834,-0.09291874538953375,0.11127120428096915
154.0,0.13899792190793586,-0.12130094777311264,0.12945324147461768
163.0,0.1269891743276562,-0.12940758465513397,0.11758757711124135
173.0,0.10523540294446222,-0.12746765029761134,0.11582483514009767
183.0,0.0838077398695596,-0.11563175170534151,0.11408851823300559
192.0,0.04285120531110461,-0.08412319258099707,0.10245318468516618
202.0,0.032283782204859814,-0.09278715695525894,0.12076741180589501
212.0,0.021874774134402232,-0.08147114968736516,0.10903195572546331
221.0,0.011621806317979409,-0.030624597116437648,0.0875473789603809
231.0,0.0015225395739215386,-0.0003903705612523199,0.07630992060741448
240.0,-0.008425330213035284,-0.010309564130320012,0.07516596728195335
250.0,-0.02814911818710015,-0.0002299690593871341,0.07403916283045797
260.0,-0.04757722910287397,-0.02007661275876855,0.08285429574578718
269.0,-0.05678904985177506,-0.03962573768367825,0.09153728200793387
279.0,-0.046012686106028225,-0.039031712764817386,0.09016505704264555
288.0,-0.03539786960138977,-0.05829668394518416,0.07888835737579325
298.0,-0.005092087462224929,-0.07727285613753895,0.06778070542883663
308.0,0.014834338580103893,-0.07611446755525761,0.06676461259634192
317.0,0.034462049839947884,-0.08489848981390691,0.0657637518957308
327.0,0.05379552431657721,-0.09355083179568367,0.04492780384450046
337.0,0.06291412731041061,-0.0822233763652663,0.03432925068623849
346.0,0.06197098879601616,-0.0909158206679628,0.023889579230826685
356.0,0.07096703433330917,-0.09947795752849052,0.01360640770076027
365.0,0.05005308446789257,-0.07813660366184462,0.003477390023488347
375.0,0.02945265324207927,-0.10674040344786119,0.013350306435516934
385.0,0.009161040733663698,-0.12499036136058256,0.023075219082482556
394.0,-0.0009013369538868193,-0.10326655395484341,0.0028792099629411094
404.0,-0.01081287068397944,-0.11164354237984725,0.0028360480544291633
413.0,-0.020575821741194024,-0.10004486118645418,-0.007131512388504513
423.0,-0.03019241751145093,-0.07869500893166188,-0.02687469583816582
433.0,-0.039664851990181965,-0.11721548329757507,-0.016546774765147543
442.0,-0.03907024071320879,-0.11545831934239756,-0.02622376951957328
452.0,-0.04840958875581632,-0.10380245126219517,-0.045680743117857525
462.0,-0.0377588405566458,-0.09232131497237277,-0.044995948302409494
471.0,-0.00741766537088775,-0.04131210880987041,-0.054246464737692346
481.0,0.0026185775752307246,-0.02084271255424417,-0.0633583077350508
490.0,0.002579322777147862,-0.050305398534080004,-0.05248346499284362
500.0,-0.01730943469607861,-0.09917650388456999,-0.041771645779160704
510.0,-0.04682508764172247,-0.0976897602145032,-0.04114545179653428
519.0,-0.0560481836575725,-0.10615034971907697,-0.040528645016556175
529.0,-0.05520797172220702,-0.09463401635099503,-0.05977117585608993
538.0,-0.05438035530823512,-0.06344023188497236,-0.05887515296885537
548.0,-0.02379000888860691,-0.06248920659684233,-0.06791760782830958
558.0,-0.02343337557587051,-0.03177730131142793,-0.08674955384689165
567.0,-0.02308208851249235,-0.04122597697768711,-0.07552405559930164
577.0,-0.0028859764141082565,-0.06045805419324207,-0.07439188308663958
587.0,-0.012767758640172433,-0.049626688821440015,-0.09312677398246982
596.0,0.007273732514258037,-0.08858292306222887,-0.08180567555441542
606.0,0.0071646928188689105,-0.09718003212496565,-0.07065429042302751
615.0,0.007057287725129932,-0.07587312619623006,-0.07952016557496133
625.0,0.01687653829858859,-0.07473572080602076,-0.07832808783295064
635.0,0.0066984984661068656,-0.043840229421402116,-0.09700397153190021
644.0,0.016523127608468913,-0.0431830255370788,-0.09554979604680502
654.0,0.016275431285051538,-0.04253567372130691,-0.09411741994072553
663.0,0.006106402579322667,-0.04189802628284929,-0.0927065164216545
673.0,0.0060148621939885155,-0.05119498331416586,-0.10124180916616143
683.0,-0.0040003514895333245,-0.040502479582524814,-0.10964915030960343
692.0,-0.023790473815482625,-0.049820357095424456,-0.11793045795985369
702.0,-0.033358879102754986,-0.06892359693783442,-0.10623753033130001
712.0,-0.03285879994686673,-0.05796532557926912,-0.10464493561826782
721.0,-0.0422912629903025,-0.04717132841811028,-0.10307621531112654
731.0,-0.041657279485266444,-0.036539142838581215,-0.1114560570810521
740.0,-0.05095784552439611,-0.035991388711372266,-0.09986018645841221
750.0,-0.05019394226801782,-0.02552680033420142,-0.10828823935045073
760.0,-0.04944149059832065,-0.005294039839436132,-0.11658994826183444
769.0,-0.0387752732761988,-0.015139723061053725,-0.11484216163110739
779.0,-0.028268952002698286,0.00493732594176062,-0.11312057587062774
788.0,-0.027845175364046553,0.024713402190450685,-0.12134984377580926
798.0,-0.02742775151270189,0.014417880824258475,-0.10960565652407606
808.0,-0.05679172192377735,0.004276698445847507,-0.09803752504536045
817.0,-0.08571550040000192,-0.025562549762312675,-0.07671776453795354
827.0,-0.10428064023884316,-0.0648795267699912,-0.05571760613124821
837.0,-0.11264242661190339,-0.0639069251762258,-0.06480739541559011
846.0,-0.10102877125879536,-0.07287394931181383,-0.06383587513474032
856.0,-0.0895892148898849,-0.06185645867089326,-0.05295387323405609
865.0,-0.06839610203746128,-0.031154038837544654,-0.052160047753699534
875.0,-0.05744573829484736,-0.020761966621189287,-0.04145307685099997
885.0,-0.046659530207470185,-0.0006006352057348202,-0.05075670406855404
894.0,-0.026109971366930548,0.009333414417875621,-0.049995816100823265
904.0,-0.005868468621657156,-0.0007315473039355425,-0.03932128894825049
913.0,0.014069596062175792,0.00920446480802356,-0.03873182798569508
923.0,0.013858680350625983,-0.010783609414552767,-0.01830111242591992
933.0,0.02357597202215194,-0.03047204469379801,0.0018233286046704933
942.0,0.013297501742019704,-0.05979037845264697,0.02164608643264776
952.0,0.003173114838780265,-0.07874415884082436,0.031246637986855674
962.0,0.003125547035760688,-0.07756371412735082,0.02085317762720318
971.0,-0.006846353253418044,-0.06647591975640847,0.02054057001729881
981.0,0.0031813252178398395,-0.0654793868172686,0.020232648672457665
990.0,-0.006791411235711358,-0.05457274722020489,0.019929343341414052
1000.0,-0.016614647533330276,-0.03390456224501906,0.019630584826030972
1010.0,-0.026290624814821206,-0.02347125724564289,0.029261350535187636
1019.0,-0.045746596192991575,-0.023119402302469214,0.038747742532878826
1029.0,-0.05498585975127169,-0.01284777640698552,0.03816687953928932
1038.0,-0.05416157299254978,-0.012655176854678749,0.037594724196656104
1048.0,-0.06327468859238741,-0.002540418970642208,0.037031145969575796
1058.0,-0.06232614494489536,-0.012427381408970317,0.03647601627948649
1067.0,-0.05146677523747603,-0.022166129519855707,0.03592920847533265
1077.0,-0.030845151534404654,-0.021833839597719687,0.025465552234995692
1087.0,-0.010532664242743017,-0.021506530995946987,0.025083801042856457
1096.0,-0.0004497247034437029,-0.02118412904013159,0.02470777263934376
1106.0,0.009482062638020861,-0.020866560175302973,0.02433738123478535
1115.0,0.019264963687026904,-0.020553751949144813,0.02397254232557222
1125.0,0.018976164811346733,-0.020245632995465224,0.013688127105204506
1135.0,0.008766649717033023,-0.029867178587589333,0.01348292995132605
1144.0,-0.0012898156997220925,-0.049269534255646494,0.02320585445427692
1154.0,-0.021120571358871777,-0.038605894711465846,0.03278302370378461
1163.0,-0.03072900084967608,-0.028102112572731097,0.02236653156089763
1173.0,-0.04019339146871936,-0.027680837004965167,0.03195628300427178
1183.0,-0.04951590248631711,-0.02726587673123762,0.031477230006691226
1192.0,-0.048773615233735,-0.007007045940345888,0.02108031286834189
1202.0,-0.03811740995510934,0.022873132596022402,0.01083925473024161
1212.0,-0.027620950635701663,0.02253024407132391,0.0007517191278756385
1221.0,-0.017281842542038007,0.022192495749432203,0.0007404501920766915
1231.0,-0.017022772409495623,0.011934765004478043,0.010654395757284996
1240.0,-0.01676758596779305,-0.008094238837266787,0.02041972249406987
1250.0,-0.006591179427288804,-0.007972899025073754,0.020113612760680688
1260.0,-0.01641741737713439,-0.007853378204180472,0.009887046313753478
1269.0,-0.016171305743750863,-0.037510785815319386,0.019663876298618432
1279.0,-0.015928883541822682,-0.036948465898950233,0.019369097369427934
1288.0,-0.005765049893828665,-0.03639457565637949,0.009153691867904712
1298.0,-0.01560367225738535,-0.025923943149653073,0.009016469916038106
1308.0,-0.015369759384378,-0.005685229132189787,-0.0010437405268569622
1317.0,-0.015139353072599058,-0.005600002510015245,-0.001028093931537355
1327.0,-0.004987355185914085,-0.005516053510423433,-0.0010126818925454417
1337.0,-0.0049125903125559495,-0.00543336298071978,-0.01092254646334867
1346.0,-0.004838946230895997,-0.015276957625000157,-0.0008337622441014769
1356.0,-0.02461649727862275,-0.034898033633171885,0.00910378216037977
1365.0,-0.024247474172597507,-0.054224972326430754,0.018892353968926856
1375.0,-0.02388398304991007,-0.0633371375140776,0.028534186412752183
1385.0,-0.02352594098122851,-0.032612520992891844,0.00825634253592944
1394.0,-0.013248220710730473,-0.02219858483671769,0.00813257264565903
1404.0,-0.003124572573816261,-0.0020157172412752222,0.008010658175712004
1413.0,0.006847313107314486,0.027789636855251917,-0.01195951982765553
1423.0,0.026594756956019962,0.007522954436015639,0.008069855110823032
1433.0,0.04604616912391288,-0.002514866886482059,0.007948880832294947
1442.0,0.045355896248842786,-0.0024771668035179634,0.007829720065393064
1452.0,0.044675971175796685,-0.012365077447876807,0.017637391193645935
